Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1000000,1000000,3000000,8000000,7000000,11000000,16000000,16000000,18000000,18000000,30000000,49000000,60000000,111000000,130000000,145000000,197000000,541000000,1044000000,1179000000,1475000000,,
Ethiopia,,,,,,,,,,,,304000000,312000000,333000000,348000000,349000000,363000000,375000000,406000000,439000000,484000000,507000000,580000000,630000000,690000000,675000000,717000000,721000000,712000000,721000000,1062000000,1082000000,1151000000,1263000000,1354000000,1428000000,1510000000,1566000000,1605000000,1625000000,1651000000,1993000000,2023000000,2280000000,2521000000,2833000000,3259000000,3385000000,3310000000,3548000000,4949000000,5128000000,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5269000000,8023000000,9770000000,8373000000,8336000000,9354000000,10381000000,11629000000,10489000000,8745000000,9258000000,10627000000,10323000000,10515000000,12631000000,12152000000,9435000000,12120000000,9742000000,10870000000,10216000000,13653000000,13088000000,13579000000,13246000000,12333000000,12389000000,13795000000,13361000000,13029000000,16015000000,18197000000,20060000000,19439000000,18260000000,19545000000,17761000000,20151000000,24408000000,21193000000,23370000000,21541000000,19818000000,19049000000,25615000000,23457000000,22452000000,24312000000,27765000000,21684000000,24178000000,24150000000,28087000000,,
France,40887000000,38718000000,36261000000,44010000000,35200000000,46875000000,52587000000,45974000000,51341000000,54000000000,57397000000,49562000000,49646000000,48489000000,57001000000,60804000000,49146000000,76929000000,69023000000,67111000000,70234000000,72944000000,71351000000,70231000000,66545000000,62774000000,63389000000,71424000000,77445000000,47989000000,55786000000,59774000000,71157000000,66951000000,81042000000,75321000000,68578000000,66539000000,64843000000,75515000000,70272000000,78163000000,64450000000,63320000000,64308000000,56629000000,62232000000,66298000000,73760000000,69785000000,78092000000,64789000000,81237000000,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,0,5000000,5000000,100000000,143000000,162000000,301000000,296000000,310000000,260000000,412000000,487000000,547000000,610000000,667000000,693000000,698000000,709000000,675000000,708000000,715000000,720000000,718000000,755000000,800000000,777000000,816000000,819000000,838000000,810000000,885000000,930000000,907000000,901000000,820000000,953000000,809000000,902000000,894000000,818000000,818000000,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7577000000,7423000000,6504000000,6602000000,6772000000,5203000000,6000000000,6047000000,6372000000,6442000000,5860000000,5542000000,6767000000,6526000000,6049000000,6236000000,5315000000,6818000000,7162000000,7412000000,9367000000,7890000000,,,
Germany,12034000000,11922000000,11406000000,11194000000,11076000000,14263000000,15806000000,15311000000,15620000000,13114000000,20071000000,16223000000,16016000000,18145000000,18686000000,18156000000,15099000000,18794000000,19623000000,19699000000,21921000000,22839000000,22382000000,21172000000,21119000000,20203000000,21166000000,22643000000,22441000000,20759000000,19093000000,16979000000,19735000000,20520000000,23433000000,25932000000,26551000000,23062000000,24902000000,28717000000,35475000000,37895000000,44477000000,46438000000,56500000000,61625000000,70487000000,87561000000,90311000000,93991000000,1.03602E+11,1.23114E+11,1.36814E+11,,
